"","ensemblGeneID","geneLength","geneName","geneBiotype"
"3794","ENSG00000110665",4199,"C11orf21","protein_coding"
"3795","ENSG00000110675",5856,"ELMOD1","protein_coding"
"3796","ENSG00000110680",2128,"CALCA","protein_coding"
"3797","ENSG00000110693",19640,"SOX6","protein_coding"
"3798","ENSG00000110696",10342,"C11orf58","protein_coding"
"3799","ENSG00000110697",6442,"PITPNM1","protein_coding"
"3800","ENSG00000110700",2115,"RPS13","protein_coding"
"3801","ENSG00000110711",1655,"AIP","protein_coding"
"3802","ENSG00000110713",9904,"NUP98","protein_coding"
"3803","ENSG00000110717",4523,"NDUFS8","protein_coding"
"3804","ENSG00000110719",4375,"TCIRG1","protein_coding"
"3805","ENSG00000110721",3877,"CHKA","protein_coding"
"3806","ENSG00000110723",10944,"EXPH5","protein_coding"
"3807","ENSG00000110756",6433,"HPS5","protein_coding"
"3808","ENSG00000110768",6940,"GTF2H1","protein_coding"
"3809","ENSG00000110777",6996,"POU2AF1","protein_coding"
"3810","ENSG00000110786",5497,"PTPN5","protein_coding"
"3811","ENSG00000110799",10391,"VWF","protein_coding"
"3812","ENSG00000110801",8773,"PSMD9","protein_coding"
"3813","ENSG00000110811",4600,"P3H3","protein_coding"
"3814","ENSG00000110841",11690,"PPFIBP1","protein_coding"
"3815","ENSG00000110844",9444,"PRPF40B","protein_coding"
"3816","ENSG00000110848",2832,"CD69","protein_coding"
"3817","ENSG00000110851",4772,"PRDM4","protein_coding"
"3818","ENSG00000110852",2638,"CLEC2B","protein_coding"
"3819","ENSG00000110871",2501,"COQ5","protein_coding"
"3820","ENSG00000110876",2494,"SELPLG","protein_coding"
"3821","ENSG00000110880",6532,"CORO1C","protein_coding"
"3822","ENSG00000110881",5745,"ASIC1","protein_coding"
"3823","ENSG00000110887",3883,"DAO","protein_coding"
"3824","ENSG00000110888",8392,"CAPRIN2","protein_coding"
"3825","ENSG00000110900",7116,"TSPAN11","protein_coding"
"3826","ENSG00000110906",9681,"KCTD10","protein_coding"
"3827","ENSG00000110911",9888,"SLC11A2","protein_coding"
"3828","ENSG00000110917",6438,"MLEC","protein_coding"
"3829","ENSG00000110921",6488,"MVK","protein_coding"
"3830","ENSG00000110925",5230,"CSRNP2","protein_coding"
"3831","ENSG00000110931",7173,"CAMKK2","protein_coding"
"3832","ENSG00000110934",4010,"BIN2","protein_coding"
"3833","ENSG00000110944",1178,"IL23A","protein_coding"
"3834","ENSG00000110955",2238,"ATP5F1B","protein_coding"
"3835","ENSG00000110958",3399,"PTGES3","protein_coding"
"3836","ENSG00000110975",5082,"SYT10","protein_coding"
"3837","ENSG00000110987",6565,"BCL7A","protein_coding"
"3838","ENSG00000111011",8745,"RSRC2","protein_coding"
"3839","ENSG00000111012",3284,"CYP27B1","protein_coding"
"3840","ENSG00000111046",1329,"MYF6","protein_coding"
"3841","ENSG00000111049",1540,"MYF5","protein_coding"
"3842","ENSG00000111052",6795,"LIN7A","protein_coding"
"3843","ENSG00000111057",3069,"KRT18","protein_coding"
"3844","ENSG00000111058",18465,"ACSS3","protein_coding"
"3845","ENSG00000111077",8093,"TNS2","protein_coding"
"3846","ENSG00000111087",4560,"GLI1","protein_coding"
"3847","ENSG00000111110",7164,"PPM1H","protein_coding"
"3848","ENSG00000111142",4491,"METAP2","protein_coding"
"3849","ENSG00000111144",7405,"LTA4H","protein_coding"
"3850","ENSG00000111145",4644,"ELK3","protein_coding"
"3851","ENSG00000111181",5280,"SLC6A12","protein_coding"
"3852","ENSG00000111186",4240,"WNT5B","protein_coding"
"3853","ENSG00000111196",4839,"MAGOHB","protein_coding"
"3854","ENSG00000111199",3759,"TRPV4","protein_coding"
"3855","ENSG00000111203",6255,"ITFG2","protein_coding"
"3856","ENSG00000111206",4899,"FOXM1","protein_coding"
"3857","ENSG00000111215",1310,"PRR4","protein_coding"
"3858","ENSG00000111218",6677,"PRMT8","protein_coding"
"3859","ENSG00000111224",6200,"PARP11","protein_coding"
"3860","ENSG00000111229",3027,"ARPC3","protein_coding"
"3861","ENSG00000111231",2593,"GPN3","protein_coding"
"3862","ENSG00000111237",3219,"VPS29","protein_coding"
"3863","ENSG00000111241",1209,"FGF6","protein_coding"
"3864","ENSG00000111245",1417,"MYL2","protein_coding"
"3865","ENSG00000111247",2558,"RAD51AP1","protein_coding"
"3866","ENSG00000111249",7507,"CUX2","protein_coding"
"3867","ENSG00000111252",5682,"SH2B3","protein_coding"
"3868","ENSG00000111254",3672,"AKAP3","protein_coding"
"3869","ENSG00000111261",5716,"MANSC1","protein_coding"
"3870","ENSG00000111262",7985,"KCNA1","protein_coding"
"3871","ENSG00000111266",7132,"DUSP16","protein_coding"
"3872","ENSG00000111269",3922,"CREBL2","protein_coding"
"3873","ENSG00000111271",8931,"ACAD10","protein_coding"
"3874","ENSG00000111275",9723,"ALDH2","protein_coding"
"3875","ENSG00000111276",2565,"CDKN1B","protein_coding"
"3876","ENSG00000111291",1124,"GPRC5D","protein_coding"
"3877","ENSG00000111300",9902,"NAA25","protein_coding"
"3878","ENSG00000111305",3033,"GSG1","protein_coding"
"3879","ENSG00000111319",5876,"SCNN1A","protein_coding"
"3880","ENSG00000111321",6151,"LTBR","protein_coding"
"3881","ENSG00000111325",4608,"OGFOD2","protein_coding"
"3882","ENSG00000111328",6027,"CDK2AP1","protein_coding"
"3883","ENSG00000111331",8161,"OAS3","protein_coding"
"3884","ENSG00000111335",6264,"OAS2","protein_coding"
"3885","ENSG00000111339",5245,"ART4","protein_coding"
"3886","ENSG00000111341",2887,"MGP","protein_coding"
"3887","ENSG00000111344",4813,"RASAL1","protein_coding"
"3888","ENSG00000111348",2042,"ARHGDIB","protein_coding"
"3889","ENSG00000111358",3994,"GTF2H3","protein_coding"
"3890","ENSG00000111361",3627,"EIF2B1","protein_coding"
"3891","ENSG00000111364",5716,"DDX55","protein_coding"
"3892","ENSG00000111371",10015,"SLC38A1","protein_coding"
"3893","ENSG00000111404",1549,"RERGL","protein_coding"
"3894","ENSG00000111405",2679,"ENDOU","protein_coding"
"3895","ENSG00000111412",8678,"C12orf49","protein_coding"
"3896","ENSG00000111424",5674,"VDR","protein_coding"
"3897","ENSG00000111432",3282,"FZD10","protein_coding"
"3898","ENSG00000111445",3249,"RFC5","protein_coding"
"3899","ENSG00000111450",3723,"STX2","protein_coding"
"3900","ENSG00000111452",14718,"ADGRD1","protein_coding"
"3901","ENSG00000111481",3898,"COPZ1","protein_coding"
"3902","ENSG00000111490",9251,"TBC1D30","protein_coding"
"3903","ENSG00000111530",13580,"CAND1","protein_coding"
"3904","ENSG00000111536",1066,"IL26","protein_coding"
"3905","ENSG00000111537",1211,"IFNG","protein_coding"
"3906","ENSG00000111540",6525,"RAB5B","protein_coding"
"3907","ENSG00000111554",6549,"MDM1","protein_coding"
"3908","ENSG00000111581",8103,"NUP107","protein_coding"
"3909","ENSG00000111596",13993,"CNOT2","protein_coding"
"3910","ENSG00000111602",5851,"TIMELESS","protein_coding"
"3911","ENSG00000111605",8050,"CPSF6","protein_coding"
"3912","ENSG00000111615",10747,"KRR1","protein_coding"
"3913","ENSG00000111639",1388,"MRPL51","protein_coding"
"3914","ENSG00000111640",2396,"GAPDH","protein_coding"
"3915","ENSG00000111641",4687,"NOP2","protein_coding"
"3916","ENSG00000111642",12713,"CHD4","protein_coding"
"3917","ENSG00000111644",2816,"ACRBP","protein_coding"
"3918","ENSG00000111647",6646,"UHRF1BP1L","protein_coding"
"3919","ENSG00000111652",2840,"COPS7A","protein_coding"
"3920","ENSG00000111653",2709,"ING4","protein_coding"
"3921","ENSG00000111664",3437,"GNB3","protein_coding"
"3922","ENSG00000111665",5653,"CDCA3","protein_coding"
"3923","ENSG00000111666",5991,"CHPT1","protein_coding"
"3924","ENSG00000111667",3738,"USP5","protein_coding"
"3925","ENSG00000111669",2700,"TPI1","protein_coding"
"3926","ENSG00000111670",9774,"GNPTAB","protein_coding"
"3927","ENSG00000111671",2452,"SPSB2","protein_coding"
"3928","ENSG00000111674",4281,"ENO2","protein_coding"
"3929","ENSG00000111676",5116,"ATN1","protein_coding"
"3930","ENSG00000111678",1806,"C12orf57","protein_coding"
"3931","ENSG00000111679",5009,"PTPN6","protein_coding"
"3932","ENSG00000111684",4693,"LPCAT3","protein_coding"
"3933","ENSG00000111696",8759,"NT5DC3","protein_coding"
"3934","ENSG00000111700",3542,"SLCO1B3","protein_coding"
"3935","ENSG00000111701",894,"APOBEC1","protein_coding"
"3936","ENSG00000111704",5392,"NANOG","protein_coding"
"3937","ENSG00000111707",5558,"SUDS3","protein_coding"
"3938","ENSG00000111711",3789,"GOLT1B","protein_coding"
"3939","ENSG00000111713",3214,"GYS2","protein_coding"
"3940","ENSG00000111716",2983,"LDHB","protein_coding"
"3941","ENSG00000111725",6042,"PRKAB1","protein_coding"
"3942","ENSG00000111726",1974,"CMAS","protein_coding"
"3943","ENSG00000111727",6699,"HCFC2","protein_coding"
"3944","ENSG00000111728",14483,"ST8SIA1","protein_coding"
"3945","ENSG00000111729",1281,"CLEC4A","protein_coding"
"3946","ENSG00000111731",6759,"C2CD5","protein_coding"
"3947","ENSG00000111732",3107,"AICDA","protein_coding"
"3948","ENSG00000111737",4018,"RAB35","protein_coding"
"3949","ENSG00000111752",6134,"PHC1","protein_coding"
"3950","ENSG00000111775",1339,"COX6A1","protein_coding"
"3951","ENSG00000111780",552,"AL021546.1","protein_coding"
"3952","ENSG00000111783",6783,"RFX4","protein_coding"
"3953","ENSG00000111785",7769,"RIC8B","protein_coding"
"3954","ENSG00000111786",3695,"SRSF9","protein_coding"
"3955","ENSG00000111788",3158,"AC009533.1","unprocessed_pseudogene"
"3956","ENSG00000111790",5884,"FGFR1OP2","protein_coding"
"3957","ENSG00000111796",1478,"KLRB1","protein_coding"
"3958","ENSG00000111799",12483,"COL12A1","protein_coding"
"3959","ENSG00000111801",5658,"BTN3A3","protein_coding"
"3960","ENSG00000111802",2977,"TDP2","protein_coding"
"3961","ENSG00000111816",13363,"FRK","protein_coding"
"3962","ENSG00000111817",19193,"DSE","protein_coding"
"3963","ENSG00000111832",5867,"RWDD1","protein_coding"
"3964","ENSG00000111834",2840,"RSPH4A","protein_coding"
"3965","ENSG00000111837",4226,"MAK","protein_coding"
"3966","ENSG00000111843",1321,"TMEM14C","protein_coding"
"3967","ENSG00000111845",1523,"PAK1IP1","protein_coding"
"3968","ENSG00000111846",9072,"GCNT2","protein_coding"
"3969","ENSG00000111850",8750,"SMIM8","protein_coding"
"3970","ENSG00000111859",10359,"NEDD9","protein_coding"
"3971","ENSG00000111860",9428,"CEP85L","protein_coding"
"3972","ENSG00000111863",4150,"ADTRP","protein_coding"
"3973","ENSG00000111875",2589,"ASF1A","protein_coding"
"3974","ENSG00000111877",12496,"MCM9","protein_coding"
"3975","ENSG00000111879",7712,"FAM184A","protein_coding"
"3976","ENSG00000111880",5188,"RNGTT","protein_coding"
"3977","ENSG00000111885",5018,"MAN1A1","protein_coding"
"3978","ENSG00000111886",4974,"GABRR2","protein_coding"
"3979","ENSG00000111897",3125,"SERINC1","protein_coding"
"3980","ENSG00000111906",5888,"HDDC2","protein_coding"
"3981","ENSG00000111907",7595,"TPD52L1","protein_coding"
"3982","ENSG00000111911",3325,"HINT3","protein_coding"
"3983","ENSG00000111912",7647,"NCOA7","protein_coding"
"3984","ENSG00000111913",9435,"RIPOR2","protein_coding"
"3985","ENSG00000111961",10896,"SASH1","protein_coding"
"3986","ENSG00000111962",4861,"UST","protein_coding"
"3987","ENSG00000111981",3211,"ULBP1","protein_coding"
"3988","ENSG00000112029",3856,"FBXO5","protein_coding"
"3989","ENSG00000112031",4297,"MTRF1L","protein_coding"
"3990","ENSG00000112033",4457,"PPARD","protein_coding"
"3991","ENSG00000112038",21032,"OPRM1","protein_coding"
"3992","ENSG00000112039",2692,"FANCE","protein_coding"
"3993","ENSG00000112041",2916,"TULP1","protein_coding"
"3994","ENSG00000112053",6034,"SLC26A8","protein_coding"
"3995","ENSG00000112062",6860,"MAPK14","protein_coding"
"3996","ENSG00000112077",2691,"RHAG","protein_coding"
"3997","ENSG00000112078",6239,"KCTD20","protein_coding"
"3998","ENSG00000112079",3585,"STK38","protein_coding"
"3999","ENSG00000112081",7118,"SRSF3","protein_coding"
"4000","ENSG00000112096",16431,"SOD2","protein_coding"
"4001","ENSG00000112110",1374,"MRPL18","protein_coding"
"4002","ENSG00000112115",1871,"IL17A","protein_coding"
"4003","ENSG00000112116",1067,"IL17F","protein_coding"
"4004","ENSG00000112118",3645,"MCM3","protein_coding"
"4005","ENSG00000112130",6564,"RNF8","protein_coding"
"4006","ENSG00000112137",11198,"PHACTR1","protein_coding"
"4007","ENSG00000112139",14080,"MDGA1","protein_coding"
"4008","ENSG00000112144",6259,"ICK","protein_coding"
"4009","ENSG00000112146",8164,"FBXO9","protein_coding"
"4010","ENSG00000112149",2384,"CD83","protein_coding"
"4011","ENSG00000112159",18674,"MDN1","protein_coding"
"4012","ENSG00000112164",6682,"GLP1R","protein_coding"
"4013","ENSG00000112167",2923,"SAYSD1","protein_coding"
"4014","ENSG00000112175",3970,"BMP5","protein_coding"
"4015","ENSG00000112182",9787,"BACH2","protein_coding"
"4016","ENSG00000112183",3425,"RBM24","protein_coding"
"4017","ENSG00000112186",3346,"CAP2","protein_coding"
"4018","ENSG00000112195",3785,"TREML2","protein_coding"
"4019","ENSG00000112200",16414,"ZNF451","protein_coding"
"4020","ENSG00000112208",6651,"BAG2","protein_coding"
"4021","ENSG00000112210",4919,"RAB23","protein_coding"
"4022","ENSG00000112212",1075,"TSPO2","protein_coding"
"4023","ENSG00000112214",2135,"FHL5","protein_coding"
"4024","ENSG00000112218",5967,"GPR63","protein_coding"
"4025","ENSG00000112232",2329,"KHDRBS2","protein_coding"
"4026","ENSG00000112234",8118,"FBXL4","protein_coding"
"4027","ENSG00000112237",5610,"CCNC","protein_coding"
"4028","ENSG00000112238",3276,"PRDM13","protein_coding"
"4029","ENSG00000112242",5190,"E2F3","protein_coding"
"4030","ENSG00000112245",5522,"PTP4A1","protein_coding"
"4031","ENSG00000112246",9274,"SIM1","protein_coding"
"4032","ENSG00000112249",11731,"ASCC3","protein_coding"
"4033","ENSG00000112273",2101,"HDGFL1","protein_coding"
"4034","ENSG00000112276",5791,"BVES","protein_coding"
"4035","ENSG00000112280",7240,"COL9A1","protein_coding"
"4036","ENSG00000112282",7426,"MED23","protein_coding"
"4037","ENSG00000112290",3260,"WASF1","protein_coding"
"4038","ENSG00000112293",7221,"GPLD1","protein_coding"
"4039","ENSG00000112294",6047,"ALDH5A1","protein_coding"
"4040","ENSG00000112297",10851,"CRYBG1","protein_coding"
"4041","ENSG00000112299",3853,"VNN1","protein_coding"
"4042","ENSG00000112303",2595,"VNN2","protein_coding"
"4043","ENSG00000112304",4394,"ACOT13","protein_coding"
"4044","ENSG00000112305",4157,"SMAP1","protein_coding"
"4045","ENSG00000112306",639,"RPS12","protein_coding"
"4046","ENSG00000112308",2591,"C6orf62","protein_coding"
"4047","ENSG00000112309",6587,"B3GAT2","protein_coding"
"4048","ENSG00000112312",2476,"GMNN","protein_coding"
"4049","ENSG00000112319",8976,"EYA4","protein_coding"
"4050","ENSG00000112320",7895,"SOBP","protein_coding"
"4051","ENSG00000112333",3733,"NR2E1","protein_coding"
"4052","ENSG00000112335",1828,"SNX3","protein_coding"
"4053","ENSG00000112337",2568,"SLC17A2","protein_coding"
"4054","ENSG00000112339",11085,"HBS1L","protein_coding"
"4055","ENSG00000112343",9418,"TRIM38","protein_coding"
"4056","ENSG00000112357",1832,"PEX7","protein_coding"
"4057","ENSG00000112365",5519,"ZBTB24","protein_coding"
"4058","ENSG00000112367",3592,"FIG4","protein_coding"
"4059","ENSG00000112378",4198,"PERP","protein_coding"
"4060","ENSG00000112379",14859,"ARFGEF3","protein_coding"
"4061","ENSG00000112394",11237,"SLC16A10","protein_coding"
"4062","ENSG00000112406",5646,"HECA","protein_coding"
"4063","ENSG00000112414",8473,"ADGRG6","protein_coding"
"4064","ENSG00000112419",11224,"PHACTR2","protein_coding"
"4065","ENSG00000112425",18617,"EPM2A","protein_coding"
"4066","ENSG00000112462",1869,"OR12D3","protein_coding"
"4067","ENSG00000112473",2845,"SLC39A7","protein_coding"
"4068","ENSG00000112486",4346,"CCR6","protein_coding"
"4069","ENSG00000112494",2694,"UNC93A","protein_coding"
"4070","ENSG00000112499",5983,"SLC22A2","protein_coding"
"4071","ENSG00000112511",3596,"PHF1","protein_coding"
"4072","ENSG00000112514",1876,"CUTA","protein_coding"
"4073","ENSG00000112530",2612,"PACRG","protein_coding"
"4074","ENSG00000112531",17364,"QKI","protein_coding"
"4075","ENSG00000112539",2238,"C6orf118","protein_coding"
"4076","ENSG00000112541",24416,"PDE10A","protein_coding"
"4077","ENSG00000112559",2537,"MDFI","protein_coding"
"4078","ENSG00000112561",5648,"TFEB","protein_coding"
"4079","ENSG00000112562",4032,"SMOC2","protein_coding"
"4080","ENSG00000112576",5802,"CCND3","protein_coding"
"4081","ENSG00000112578",1937,"BYSL","protein_coding"
"4082","ENSG00000112584",6029,"FAM120B","protein_coding"
"4083","ENSG00000112592",2318,"TBP","protein_coding"
"4084","ENSG00000112599",2270,"GUCA1B","protein_coding"
"4085","ENSG00000112619",3001,"PRPH2","protein_coding"
"4086","ENSG00000112624",6843,"BICRAL","protein_coding"
"4087","ENSG00000112640",3260,"PPP2R5D","protein_coding"
"4088","ENSG00000112651",2171,"MRPL2","protein_coding"
"4089","ENSG00000112655",8985,"PTK7","protein_coding"
"4090","ENSG00000112658",4231,"SRF","protein_coding"
"4091","ENSG00000112659",12242,"CUL9","protein_coding"
"4092","ENSG00000112667",1250,"DNPH1","protein_coding"
"4093","ENSG00000112679",5686,"DUSP22","protein_coding"
"4094","ENSG00000112685",4990,"EXOC2","protein_coding"
"4095","ENSG00000112695",1922,"COX7A2","protein_coding"
"4096","ENSG00000112697",5103,"TMEM30A","protein_coding"
"4097","ENSG00000112699",4217,"GMDS","protein_coding"
"4098","ENSG00000112701",11417,"SENP6","protein_coding"
"4099","ENSG00000112706",3802,"IMPG1","protein_coding"
"4100","ENSG00000112715",14431,"VEGFA","protein_coding"
"4101","ENSG00000112739",8429,"PRPF4B","protein_coding"
"4102","ENSG00000112742",4579,"TTK","protein_coding"
"4103","ENSG00000112759",4410,"SLC29A1","protein_coding"
"4104","ENSG00000112761",3202,"CCN6","protein_coding"
"4105","ENSG00000112763",3787,"BTN2A1","protein_coding"
"4106","ENSG00000112769",11983,"LAMA4","protein_coding"
"4107","ENSG00000112773",6053,"TENT5A","protein_coding"
"4108","ENSG00000112782",10400,"CLIC5","protein_coding"
"4109","ENSG00000112787",9378,"FBRSL1","protein_coding"
"4110","ENSG00000112796",4275,"ENPP5","protein_coding"
"4111","ENSG00000112799",1203,"LY86","protein_coding"
"4112","ENSG00000112812",5290,"PRSS16","protein_coding"
"4113","ENSG00000112818",2981,"MEP1A","protein_coding"
"4114","ENSG00000112837",8654,"TBX18","protein_coding"
"4115","ENSG00000112851",10216,"ERBIN","protein_coding"
"4116","ENSG00000112852",4098,"PCDHB2","protein_coding"
"4117","ENSG00000112855",3719,"HARS2","protein_coding"
"4118","ENSG00000112874",4301,"NUDT12","protein_coding"
"4119","ENSG00000112877",3590,"CEP72","protein_coding"
"4120","ENSG00000112893",11815,"MAN2A1","protein_coding"
"4121","ENSG00000112902",12308,"SEMA5A","protein_coding"
"4122","ENSG00000112936",6682,"C7","protein_coding"
"4123","ENSG00000112941",6356,"TENT4A","protein_coding"
"4124","ENSG00000112964",6948,"GHR","protein_coding"
"4125","ENSG00000112972",6627,"HMGCS1","protein_coding"
"4126","ENSG00000112977",3361,"DAP","protein_coding"
"4127","ENSG00000112981",2389,"NME5","protein_coding"
"4128","ENSG00000112983",7046,"BRD8","protein_coding"
"4129","ENSG00000112984",3852,"KIF20A","protein_coding"
"4130","ENSG00000112992",12018,"NNT","protein_coding"
"4131","ENSG00000112996",6180,"MRPS30","protein_coding"
"4132","ENSG00000113013",7946,"HSPA9","protein_coding"
"4133","ENSG00000113048",6511,"MRPS27","protein_coding"
"4134","ENSG00000113068",2152,"PFDN1","protein_coding"
"4135","ENSG00000113070",2990,"HBEGF","protein_coding"
"4136","ENSG00000113073",3641,"SLC4A9","protein_coding"
"4137","ENSG00000113083",5547,"LOX","protein_coding"
"4138","ENSG00000113088",1567,"GZMK","protein_coding"
"4139","ENSG00000113100",4206,"CDH9","protein_coding"
"4140","ENSG00000113108",3660,"APBB3","protein_coding"
"4141","ENSG00000113119",3502,"TMCO6","protein_coding"
"4142","ENSG00000113140",4641,"SPARC","protein_coding"
"4143","ENSG00000113141",4037,"IK","protein_coding"
"4144","ENSG00000113161",6160,"HMGCR","protein_coding"
"4145","ENSG00000113163",18138,"CERT1","protein_coding"
"4146","ENSG00000113194",5924,"FAF2","protein_coding"
"4147","ENSG00000113196",1701,"HAND1","protein_coding"
"4148","ENSG00000113205",3355,"PCDHB3","protein_coding"
"4149","ENSG00000113209",3410,"PCDHB5","protein_coding"
"4150","ENSG00000113211",3266,"PCDHB6","protein_coding"
"4151","ENSG00000113212",3740,"PCDHB7","protein_coding"
"4152","ENSG00000113231",6944,"PDE8B","protein_coding"
"4153","ENSG00000113240",7922,"CLK4","protein_coding"
"4154","ENSG00000113248",3971,"PCDHB15","protein_coding"
"4155","ENSG00000113249",2151,"HAVCR1","protein_coding"
"4156","ENSG00000113262",8282,"GRM6","protein_coding"
"4157","ENSG00000113263",8604,"ITK","protein_coding"
"4158","ENSG00000113269",12817,"RNF130","protein_coding"
"4159","ENSG00000113272",2998,"THG1L","protein_coding"
"4160","ENSG00000113273",8899,"ARSB","protein_coding"
"4161","ENSG00000113282",6368,"CLINT1","protein_coding"
"4162","ENSG00000113296",4605,"THBS4","protein_coding"
"4163","ENSG00000113300",6572,"CNOT6","protein_coding"
"4164","ENSG00000113302",2761,"IL12B","protein_coding"
"4165","ENSG00000113303",3924,"BTNL8","protein_coding"
"4166","ENSG00000113312",1938,"TTC1","protein_coding"
"4167","ENSG00000113318",5329,"MSH3","protein_coding"
"4168","ENSG00000113319",11032,"RASGRF2","protein_coding"
"4169","ENSG00000113327",22914,"GABRG2","protein_coding"
"4170","ENSG00000113328",3096,"CCNG1","protein_coding"
"4171","ENSG00000113356",4023,"POLR3G","protein_coding"
"4172","ENSG00000113360",7780,"DROSHA","protein_coding"
"4173","ENSG00000113361",12443,"CDH6","protein_coding"
"4174","ENSG00000113368",3633,"LMNB1","protein_coding"
"4175","ENSG00000113369",4985,"ARRDC3","protein_coding"
"4176","ENSG00000113384",2742,"GOLPH3","protein_coding"
"4177","ENSG00000113387",9266,"SUB1","protein_coding"
"4178","ENSG00000113389",9979,"NPR3","protein_coding"
"4179","ENSG00000113391",5415,"FAM172A","protein_coding"
"4180","ENSG00000113396",3133,"SLC27A6","protein_coding"
"4181","ENSG00000113407",5718,"TARS","protein_coding"
"4182","ENSG00000113430",2974,"IRX4","protein_coding"
"4183","ENSG00000113441",14966,"LNPEP","protein_coding"
"4184","ENSG00000113448",16236,"PDE4D","protein_coding"
"4185","ENSG00000113456",6770,"RAD1","protein_coding"
"4186","ENSG00000113460",4710,"BRIX1","protein_coding"
"4187","ENSG00000113492",3952,"AGXT2","protein_coding"
"4188","ENSG00000113494",13006,"PRLR","protein_coding"
"4189","ENSG00000113504",6004,"SLC12A7","protein_coding"
"4190","ENSG00000113520",820,"IL4","protein_coding"
"4191","ENSG00000113522",10565,"RAD50","protein_coding"
"4192","ENSG00000113525",1586,"IL5","protein_coding"
"4193","ENSG00000113532",7812,"ST8SIA4","protein_coding"
"4194","ENSG00000113552",3959,"GNPDA1","protein_coding"
"4195","ENSG00000113555",6820,"PCDH12","protein_coding"
"4196","ENSG00000113558",12771,"SKP1","protein_coding"
"4197","ENSG00000113569",9158,"NUP155","protein_coding"
"4198","ENSG00000113575",5594,"PPP2CA","protein_coding"
"4199","ENSG00000113578",4980,"FGF1","protein_coding"
"4200","ENSG00000113580",9161,"NR3C1","protein_coding"
"4201","ENSG00000113583",2301,"C5orf15","protein_coding"
"4202","ENSG00000113593",3777,"PPWD1","protein_coding"
"4203","ENSG00000113594",12159,"LIFR","protein_coding"
"4204","ENSG00000113595",4654,"TRIM23","protein_coding"
"4205","ENSG00000113597",6761,"TRAPPC13","protein_coding"
"4206","ENSG00000113600",3008,"C9","protein_coding"
"4207","ENSG00000113615",7291,"SEC24A","protein_coding"
"4208","ENSG00000113621",5265,"TXNDC15","protein_coding"
"4209","ENSG00000113638",9708,"TTC33","protein_coding"
"4210","ENSG00000113643",3417,"RARS","protein_coding"
"4211","ENSG00000113645",10076,"WWC1","protein_coding"
"4212","ENSG00000113648",17730,"H2AFY","protein_coding"
"4213","ENSG00000113649",8714,"TCERG1","protein_coding"
"4214","ENSG00000113657",7179,"DPYSL3","protein_coding"
"4215","ENSG00000113658",9040,"SMAD5","protein_coding"
"4216","ENSG00000113712",8505,"CSNK1A1","protein_coding"
"4217","ENSG00000113716",6263,"HMGXB3","protein_coding"
"4218","ENSG00000113719",14161,"ERGIC1","protein_coding"
"4219","ENSG00000113721",7135,"PDGFRB","protein_coding"
"4220","ENSG00000113722",1775,"CDX1","protein_coding"
"4221","ENSG00000113732",1609,"ATP6V0E1","protein_coding"
"4222","ENSG00000113734",2440,"BNIP1","protein_coding"
"4223","ENSG00000113739",6128,"STC2","protein_coding"
"4224","ENSG00000113742",10444,"CPEB4","protein_coding"
"4225","ENSG00000113749",5679,"HRH2","protein_coding"
"4226","ENSG00000113758",5119,"DBN1","protein_coding"
"4227","ENSG00000113761",6686,"ZNF346","protein_coding"
"4228","ENSG00000113763",4317,"UNC5A","protein_coding"
"4229","ENSG00000113790",4651,"EHHADH","protein_coding"
"4230","ENSG00000113805",5109,"CNTN3","protein_coding"
"4231","ENSG00000113810",8164,"SMC4","protein_coding"
"4232","ENSG00000113811",2132,"SELENOK","protein_coding"
"4233","ENSG00000113812",4016,"ACTR8","protein_coding"
"4234","ENSG00000113838",3398,"TBCCD1","protein_coding"
"4235","ENSG00000113845",2715,"TIMMDC1","protein_coding"
"4236","ENSG00000113851",8068,"CRBN","protein_coding"
"4237","ENSG00000113889",4603,"KNG1","protein_coding"
"4238","ENSG00000113905",5061,"HRG","protein_coding"
"4239","ENSG00000113916",5936,"BCL6","protein_coding"
"4240","ENSG00000113924",2682,"HGD","protein_coding"
"4241","ENSG00000113946",3583,"CLDN16","protein_coding"
"4242","ENSG00000113966",4561,"ARL6","protein_coding"
"4243","ENSG00000113971",9673,"NPHP3","protein_coding"
"4244","ENSG00000114013",3437,"CD86","protein_coding"
"4245","ENSG00000114019",5984,"AMOTL2","protein_coding"
"4246","ENSG00000114021",9226,"NIT2","protein_coding"
"4247","ENSG00000114023",3793,"FAM162A","protein_coding"
"4248","ENSG00000114026",8733,"OGG1","protein_coding"
"4249","ENSG00000114030",8498,"KPNA1","protein_coding"
"4250","ENSG00000114054",7498,"PCCB","protein_coding"
"4251","ENSG00000114062",12808,"UBE3A","protein_coding"
"4252","ENSG00000114098",9843,"ARMC8","protein_coding"
"4253","ENSG00000114107",4409,"CEP70","protein_coding"
"4254","ENSG00000114113",845,"RBP2","protein_coding"
"4255","ENSG00000114115",3905,"RBP1","protein_coding"
"4256","ENSG00000114120",10322,"SLC25A36","protein_coding"
"4257","ENSG00000114124",3239,"GRK7","protein_coding"
"4258","ENSG00000114125",3102,"RNF7","protein_coding"
"4259","ENSG00000114126",11897,"TFDP2","protein_coding"
"4260","ENSG00000114127",11982,"XRN1","protein_coding"
"4261","ENSG00000114166",5211,"KAT2B","protein_coding"
"4262","ENSG00000114200",3072,"BCHE","protein_coding"
